year;ine_prov;province;veces
2022;15;A Coruna;21
2022;01;Alava;3
2022;02;Albacete;7
2022;03;Alicante;29
2022;04;Almeria;7
2022;33;Asturias;20
2022;05;Avila;1
2022;06;Badajoz;10
2022;07;Baleares;13
2022;08;Barcelona;68
2022;09;Burgos;6
2022;10;Caceres;8
2022;11;Cadiz;21
2022;39;Cantabria;14
2022;12;Castellon;4
2022;51;Ceuta;1
2022;13;Ciudad Real;4
2022;14;Cordoba;12
2022;16;Cuenca;6
2022;17;Girona;5
2022;18;Granada;15
2022;19;Guadalajara;2
2022;20;Guipuzcoa;14
2022;21;Huelva;6
2022;22;Huesca;5
2022;23;Jaen;11
2022;26;La Rioja;5
2022;35;Las Palmas;25
2022;24;Leon;6
2022;25;Lleida;7
2022;27;Lugo;10
2022;28;Madrid;107
2022;29;Malaga;26
2022;52;Melilla;0
2022;30;Murcia;26
2022;31;Navarra;7
2022;32;Orense;2
2022;34;Palencia;5
2022;36;Pontevedra;14
2022;37;Salamanca;7
2022;38;Santa Cruz De Tenerife;20
2022;40;Segovia;5
2022;41;Sevilla;23
2022;42;Soria;4
2022;43;Tarragona;4
2022;44;Teruel;4
2022;45;Toledo;5
2022;46;Valencia;36
2022;47;Valladolid;5
2022;48;Vizcaya;19
2022;49;Zamora;4
2022;50;Zaragoza;15
